URN,LAESTAB,School name,Ofsted phase,Type of education,Sixth form,Designated religious character,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,The income deprivation affecting children index (IDACI) quintile,Total pupils,Inspection date,Overall effectiveness,16 to 19 study programmes,Early years provision (where applicable),Outcomes for children and learners,"Quality of teaching, learning and assessment","Personal development, behaviour and welfare",Effectiveness of leadership and management,Previous full inspection date,Previous full inspection overall effectiveness,Previous 16 to 19 study programmes,Previous early years provision (where applicable),Previous outcomes for children and learners,"Previous quality of teaching, learning and assessment","Previous personal development, behaviour and welfare",Previous effectiveness of leadership and management
107674,3822114,Scholes Village Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD19 6DN,4,230,02/07/2015,2,9,2,2,2,9,2,04/11/2010,2,9,1,2,2,9,2
107676,3822118,Wooldale Junior School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 1LJ,2,230,27/02/2013,2,9,9,2,2,9,2,12/06/2008,2,9,9,2,2,9,2
107677,3822120,Rowley Lane Junior Infant and Nursery School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD8 0JD,2,490,01/04/2015,2,9,2,2,2,9,2,23/04/2008,1,9,1,1,1,9,1
107678,3822122,Lydgate Junior and Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 6EY,4,274,13/12/2011,2,9,2,2,2,9,2,18/06/2009,2,9,2,2,2,9,2
107680,3822125,Upperthong Junior and Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 2LE,1,211,07/12/2012,2,9,9,2,2,9,2,22/04/2008,2,9,2,2,2,9,2
107681,3822126,Meltham Moor Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 5LH,3,230,19/06/2007,1,9,2,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107682,3822129,Hyrstmount Junior School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 7NS,4,346,06/12/2012,2,9,9,2,2,9,2,13/01/2011,3,9,9,3,3,9,3
107683,3822130,Kirkheaton Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 0HR,2,420,05/05/2016,3,9,3,3,3,2,3,20/02/2014,3,9,9,3,3,9,3
107684,3822134,High Bank Junior Infant and Nursery School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF15 8LD,5,146,15/04/2016,2,9,2,2,2,2,2,20/02/2014,3,9,9,3,3,9,2
107685,3822135,Norristhorpe Junior and Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF15 7AW,3,423,05/03/2015,2,9,2,2,2,9,2,20/03/2013,3,9,9,3,3,9,3
107686,3822136,Kirkroyds Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 1LS,2,158,13/03/2014,2,9,9,2,2,9,2,12/05/2009,2,9,2,2,2,9,2
107687,3822138,Old Bank Junior Infant and Nursery School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF14 0HW,5,191,09/12/2016,3,9,2,3,3,3,3,11/05/2012,2,9,8,2,2,9,2
107688,3822139,Denby Dale First and Nursery School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD8 8SG,1,222,01/07/2015,2,9,2,2,2,9,2,24/03/2010,2,9,2,2,2,9,2
107690,3822144,Pentland Infant and Nursery School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 9JR,3,184,06/06/2013,2,9,9,2,2,9,2,11/12/2008,1,9,1,1,1,9,1
107691,3822145,Moldgreen Community Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 8AE,4,378,11/12/2014,2,9,2,2,2,9,2,05/11/2009,2,9,3,2,2,9,2
107693,3822148,Linthwaite Clough J I & Early Years Unit,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD7 5NJ,3,333,22/05/2013,2,9,9,2,2,9,2,02/10/2008,1,9,1,1,1,9,1
107696,3822151,Golcar Junior Infant and Nursery School,Primary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD7 4QE,3,475,02/03/2017,2,9,2,2,2,2,2,23/02/2012,2,9,8,2,2,9,2
107697,3822152,Crossley Fields Junior and Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF14 0BE,3,621,12/07/2017,2,9,3,2,2,2,2,26/03/2015,1,9,1,1,1,9,1
107698,3823000,Lowerhouses CofE (Voluntary Controlled) Junior Infant and Early Years School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 8JY,5,205,16/10/2013,2,9,9,2,2,9,2,14/09/2010,2,9,2,2,2,9,2
107699,3823001,Ravensthorpe Church of England Voluntary Controlled Junior School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF13 3AS,4,432,01/03/2012,2,9,9,2,2,9,2,25/06/2009,2,9,9,2,2,9,2
107700,3823002,Rawthorpe St James CofE (VC) Infant and Nursery School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 9NT,5,299,08/04/2011,2,9,2,2,2,9,2,15/05/2008,2,9,2,2,2,9,2
107701,3823003,St John's Church of England Voluntary Controlled Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF13 2LP,5,176,28/03/2012,2,9,8,2,2,9,2,23/10/2008,2,9,2,2,2,9,2
107702,3823004,Savile Town Church of England Voluntary Controlled Infant and Nursery School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 9LY,3,140,11/07/2013,2,9,9,2,2,9,2,21/06/2007,1,9,1,1,1,9,1
107705,3823008,Thornhill Lees Church of England Voluntary Controlled Infant and Nursery School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 9DL,4,355,07/11/2013,2,9,9,2,2,9,2,13/11/2008,2,9,1,2,2,9,2
107706,3823009,Bywell Church of England Voluntary Controlled Junior School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 7LX,3,349,15/11/2012,2,9,9,2,2,9,2,20/05/2010,3,9,9,3,3,9,2
107707,3823010,Headfield Church of England Voluntary Controlled Junior School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 9PD,3,626,01/07/2015,2,9,9,2,2,9,2,20/06/2013,3,9,9,3,3,9,2
107709,3823014,Hanging Heaton Church of England Voluntary Controlled Junior and Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF17 6DW,2,136,17/06/2011,2,9,2,2,2,9,2,03/07/2008,3,9,2,3,3,9,3
107710,3823015,Staincliffe Church of England Voluntary Controlled Junior School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 7QX,3,356,28/11/2012,2,9,9,2,2,9,2,14/09/2010,3,9,9,3,3,9,3
107711,3823016,Slaithwaite Church of England Voluntary Controlled Junior and Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD7 5UG,3,167,05/12/2013,2,9,9,2,2,9,2,20/01/2009,2,9,1,2,2,9,1
107713,3823021,Brockholes Church of England Voluntary Controlled Junior and Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 7EB,2,210,12/12/2012,1,9,9,1,1,9,1,21/05/2008,2,9,2,2,2,9,2
107714,3823022,Flockton Church of England Voluntary Controlled First School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF4 4DH,2,78,18/01/2011,2,9,2,2,2,9,2,10/10/2007,2,9,2,2,2,9,2
107715,3823023,Highburton Church of England Voluntary Controlled First School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD8 0QT,1,177,20/02/2014,2,9,9,2,2,9,2,23/03/2012,3,9,8,3,3,9,3
107716,3823026,"Lepton Church of England Voluntary Controlled Junior, Infant and Nursery School",Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD8 0DE,2,243,04/12/2015,2,9,3,2,2,2,2,03/10/2013,3,9,9,3,3,9,3
107717,3823027,Thurstonland Endowed Voluntary Controlled First School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD4 6XD,1,68,23/10/2013,1,9,9,1,1,9,1,23/10/2008,2,9,2,2,2,9,2
107718,3823028,Meltham CofE (VC) Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 4DA,2,383,16/03/2012,2,9,8,2,2,9,2,02/10/2008,2,9,1,2,2,9,2
107719,3823032,East Bierley Church of England Voluntary Controlled Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD4 6PH,2,213,07/06/2013,2,9,9,2,2,9,2,06/11/2008,1,9,2,1,1,9,1
107721,3823034,Roberttown Church of England Voluntary Controlled Junior and Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF15 8BE,2,246,02/05/2013,1,9,9,1,1,9,1,04/03/2009,1,9,2,1,2,9,2
107722,3823036,Farnley Tyas Church of England Voluntary Controlled First School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD4 6TZ,2,50,06/01/2012,1,9,8,1,1,9,1,20/09/2006,2,9,2,2,2,9,2
107723,3823037,"Headlands Church of England Voluntary Controlled Junior, Infant and Nursery School",Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF15 6PR,3,450,07/05/2015,2,9,2,2,2,9,2,23/05/2013,3,9,9,3,3,9,3
107725,3823041,Crowlees Church of England Voluntary Controlled Junior and Infant School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF14 9PD,2,426,27/03/2007,1,9,1,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107727,3823045,All Hallows' CofE (VA) Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 8XW,4,124,01/04/2015,2,9,2,2,2,9,2,24/04/2013,3,9,9,3,3,9,3
107728,3823046,Battyeford CofE (VC) Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF14 9QH,3,478,08/07/2015,3,9,2,3,3,9,3,20/05/2011,2,9,2,2,2,9,2
107730,3823048,Birkenshaw Church of England Voluntary Controlled Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD11 2JE,2,476,07/12/2016,2,9,2,2,2,2,2,20/11/2014,3,9,2,3,3,9,3
107732,3823304,"St Mary's Catholic Primary School, Batley",Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 8PH,4,340,08/07/2015,2,9,2,2,2,9,2,04/07/2013,3,9,9,3,3,9,3
107733,3823310,St Joseph's Catholic Primary School (Dewsbury),Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF13 4HY,4,219,03/02/2016,3,9,2,3,3,3,3,11/10/2013,3,9,9,3,3,9,3
107734,3823314,South Crosland Church of England Voluntary Aided Junior School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD4 7HF,3,227,10/01/2013,2,9,9,2,2,9,2,06/11/2007,2,9,9,2,2,9,2
107736,3823320,Batley Parish Church of England Voluntary Aided Junior Infant and Nursery School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 8PA,4,264,02/11/2007,1,9,2,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107737,3823321,"St Peter's Church of England Voluntary Aided Junior, Infant and Early Years School",Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 9HN,4,227,13/03/2014,2,9,9,2,2,9,2,26/02/2009,2,9,2,2,2,9,2
107739,3823323,St John's Church of England Voluntary Aided Junior and Infant School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD7 4QQ,3,207,12/12/2013,2,9,9,2,2,9,2,12/11/2008,2,9,2,2,2,9,2
107740,3823324,Linthwaite Ardron CofE (Voluntary Aided) Junior and Infant School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD7 5TA,3,197,17/01/2014,2,9,9,2,2,9,2,30/06/2011,2,9,2,2,2,9,1
107741,3823325,Cumberworth Church of England Voluntary Aided First School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD8 8NU,1,125,05/12/2013,1,9,9,1,1,9,1,22/10/2008,2,9,2,2,2,9,3
107742,3823326,Denby Church of England Voluntary Aided First School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD8 8UN,1,72,11/10/2011,2,9,2,2,2,9,2,13/02/2007,2,9,2,2,2,9,2
107745,3823329,Kirkburton Church of England Voluntary Aided First School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,HD8 0SG,2,138,06/01/2012,2,9,8,2,2,9,2,27/11/2008,2,9,2,2,2,9,2
107746,3823331,Helme Church of England Voluntary Aided Junior and Infant School,Primary,Voluntary Aided School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 5RW,3,132,19/01/2017,4,9,4,4,4,2,4,03/11/2011,2,9,3,2,2,9,2
107747,3823332,Gomersal St Mary's Church of England Voluntary Controlled Primary School,Primary,Voluntary Controlled School,Does not have a sixth form,Church of England,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD19 4NA,3,248,12/01/2017,3,9,3,3,3,3,3,20/06/2013,2,9,9,2,2,9,2
107748,3823336,Holy Spirit Catholic Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF16 9EA,3,218,11/11/2010,2,9,2,2,2,9,2,01/10/2007,2,9,3,2,2,9,2
107749,3823400,St Joseph's Catholic Primary School (Huddersfield),Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 9HU,4,362,23/03/2017,3,9,3,3,3,3,3,06/10/2011,2,9,2,2,2,9,2
107750,3823401,"St Patrick's Catholic Primary School, Huddersfield",Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD2 2BJ,4,415,07/11/2013,2,9,9,2,2,9,2,22/10/2008,2,9,2,2,2,9,2
107751,3823402,Our Lady of Lourdes Catholic Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD2 1EA,5,230,09/02/2012,2,9,8,2,2,9,2,25/09/2008,3,9,2,3,3,9,3
107752,3823405,"St Patrick's Catholic Primary School, Birstall",Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 9LQ,3,265,11/12/2007,1,9,2,1,1,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107753,3823408,St Paulinus Catholic Primary School,Primary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF13 3QE,4,441,25/05/2012,2,9,8,2,2,9,2,11/02/2009,3,9,2,3,3,9,3
107755,3824003,Royds Hall Community School,Secondary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD3 4HA,4,1159,15/09/2011,2,9,9,2,2,9,2,18/11/2008,2,9,9,2,2,9,2
107756,3824009,Netherhall Learning Campus High School,Secondary,Community School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 9PG,4,557,17/11/2011,2,9,9,2,2,9,2,30/11/2006,2,9,9,2,2,9,2
107758,3824019,Almondbury Community School,Secondary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 8PQ,4,718,15/06/2017,3,9,2,3,3,3,3,11/06/2015,3,9,2,3,3,9,3
107761,3824022,Newsome High School,Secondary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD4 6JN,4,571,27/04/2016,3,9,9,3,3,3,3,19/03/2014,3,9,9,3,3,9,3
107763,3824038,Honley High School,Secondary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 6QJ,2,1255,15/10/2015,2,9,9,2,2,2,2,19/09/2013,3,9,9,3,3,9,2
107769,3824046,Holmfirth High School,Secondary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Colne Valley,HD9 7SE,1,1333,14/12/2016,2,9,9,2,2,2,2,04/07/2012,1,9,9,1,1,9,1
107775,3824057,Westborough High School,Secondary,Foundation School,Does not have a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF13 2JE,4,942,13/01/2012,2,9,9,2,2,9,2,12/03/2009,3,9,9,3,3,9,2
107778,3824061,Spen Valley High School,Secondary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF15 7LX,3,879,11/01/2017,2,9,9,2,2,2,2,31/01/2013,2,9,9,2,2,9,2
107780,3824500,Whitcliffe Mount School,Secondary,Voluntary Controlled School,Does not have a sixth form,None,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,BD19 3AQ,3,1201,11/12/2013,2,9,9,2,2,9,2,06/05/2011,2,3,9,2,2,9,2
107782,3824613,All Saints Catholic College Specialist in Humanities,Secondary,Voluntary Aided School,Does not have a sixth form,Roman Catholic,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD2 2JT,4,667,06/02/2013,2,9,9,2,2,9,2,17/09/2009,3,9,9,3,3,9,2
107796,3827000,Hollybank School,Special,Non-Maintained Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF14 0DQ,1,14,22/10/2014,1,1,9,1,1,9,1,14/06/2012,2,9,8,2,2,9,2
107797,3827001,Woodley School and College,Special,Community Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD5 8JE,4,128,30/09/2015,3,9,9,3,3,2,3,13/09/2013,3,9,9,3,3,9,3
107799,3827005,Ravenshall School,Special,Community Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Dewsbury,WF12 9EE,4,185,17/10/2013,1,9,9,1,1,9,1,11/02/2011,2,9,2,2,2,9,2
107801,3827010,Southgate School,Special,Community Special School,Not applicable,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Huddersfield,HD9 1LS,4,87,12/03/2015,2,9,2,2,2,9,2,06/10/2011,2,9,9,2,2,9,2
107802,3827011,Fairfield School,Special,Foundation Special School,Has a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kirklees,Batley and Spen,WF17 8AS,4,122,13/03/2013,2,9,9,2,2,9,2,27/04/2010,2,2,1,2,2,9,2
107809,3832270,Guiseley Primary School,Primary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS20 9DA,1,423,15/02/2011,2,9,2,2,2,9,2,18/03/2008,3,9,3,3,3,9,3
107810,3832271,Rawdon Littlemoor Primary School,Primary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS19 6DD,1,319,09/10/2014,2,9,1,2,2,9,2,16/10/2009,2,9,2,2,2,9,2
107813,3832275,Scholes (Elmet) Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS15 4BJ,3,353,20/01/2017,3,9,2,3,3,2,3,31/05/2012,2,9,8,2,2,9,2
107817,3832283,Horsforth Featherbank Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS18 4QP,3,202,06/02/2013,1,9,9,1,1,9,1,22/04/2010,1,9,1,1,2,9,1
107820,3832286,Churwell Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,LS27 9HR,2,475,12/01/2011,2,9,1,2,2,9,2,14/09/2007,3,9,2,3,3,9,3
107824,3832293,Seven Hills Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,LS27 8LA,3,470,28/11/2013,2,9,9,2,2,9,2,19/04/2012,3,9,8,3,3,9,3
107826,3832301,Calverley Parkside Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS28 5PQ,1,253,23/11/2012,2,9,9,2,2,9,2,26/11/2009,3,9,2,3,3,9,3
107827,3832302,Westroyd Primary School and Nursery,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS28 5BH,1,195,12/07/2017,3,9,2,3,3,2,3,15/09/2009,2,9,2,2,2,9,2
107828,3832303,Greenside Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS28 8NZ,2,311,08/02/2017,3,9,2,3,3,2,3,11/07/2012,2,9,8,2,2,9,2
107830,3832308,Carlton Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,WF3 3RE,3,359,21/11/2012,2,9,9,2,2,9,2,06/03/2008,2,9,2,2,2,9,2
107831,3832309,Robin Hood Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,WF3 3BG,2,416,21/04/2011,1,9,2,1,1,9,1,15/11/2007,2,9,2,2,2,9,2
107832,3832312,Thorpe Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Morley and Outwood,WF3 3DG,3,274,29/11/2011,2,9,2,2,2,9,2,11/02/2009,2,9,2,2,2,9,2
107833,3832313,Rothwell Haigh Road Infant School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS26 0NQ,4,174,04/03/2015,2,9,2,2,2,9,2,24/11/2009,2,9,2,2,2,9,2
107834,3832314,Woodlesford Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Elmet and Rothwell,LS26 8RD,2,466,02/04/2014,2,9,9,2,2,9,2,26/11/2008,1,9,1,1,1,9,1
107840,3832324,Yeadon Westfield Junior School,Primary,Foundation School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,LS19 7HW,2,234,21/06/2012,2,9,9,2,2,9,2,27/02/2007,2,9,9,2,2,9,2
107841,3832326,Pudsey Tyersal Primary School,Primary,Community School,Does not have a sixth form,Does not apply,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Pudsey,BD4 8ER,5,234,02/03/2017,4,9,3,4,4,4,4,11/02/2015,3,9,3,3,3,9,3
